"site","CESO","HEEX"
"Aikawa_2022",107.1807359,646.6608142
"Banana_2022",NA,167.565326
"Bertha_2022",0,608.722833
"Bertha_2023",651.843114,765.881998
"Bertha_2024",126.607843,248.630719
"Lower_Banana_2022",NA,712.75902
"Pond_2022",149.266667,950.02381
"Pond_2023",305.761905,950.02381
"Pond_2024",0,285.778788
"Quarry_Close_2022",282.045804,909.262181
"Quarry_Close_2023",78.3948718,819.2860806
"Quarry_Close_2024",117.221429,362.830586
"Quarry_Far_2022",40.015385,287.720036
"Quarry_Far_2023",46.441458,852.848731
"Quarry_Far_2024",20.5,41.5
"Randy_2022",39.087464,372.15312
"Randy_2023",0,582.05952
"Vineyard_2022",278.649573,166.692735
"Vineyard_2024",208.881008,464.310494
