"PLANT","extinct_level_P_run1","initial_plant_abundance_run1","plant_abundance_run1","reward_abundance_run1","sum_pol_run1","visit_quanity_run1","visit_quality_run1","foraging_effort_run1","extinct_level_P_run2","initial_plant_abundance_run2","plant_abundance_run2","reward_abundance_run2","sum_pol_run2","visit_quanity_run2","visit_quality_run2","foraging_effort_run2","source_dataframe","version"
"RACA",0,0.486533867072563,0.486533867072563,0.548255028621412,2.36614159936271e-05,1.1512080223792e-05,1,1,0,0.486533867072563,0.791739172850998,0.0125005063562083,32.7604807715619,25.9377559482775,1,1,"P__2023_spring_full_network_case3_version1","1"
"TRLA",0,0.474703888560042,0.874814194755533,0.0124994658519924,35.5089115987571,31.0636999069121,1,1,0,0.474703888560042,0.874814188212623,0.0125005100949783,35.5093076147049,31.0640461149504,1,1,"P__2023_spring_full_network_case3_version1","1"
"RACA",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,NA,0,"P__2023_spring_nonserpentine_network_case3_version3","3"
"TRLA",1,0,0,0,0,0,NA,0,1,0,0,0,0,0,NA,0,"P__2023_spring_nonserpentine_network_case3_version3","3"
"RACA",0,0.486533867072563,0.486533867072563,0.548255028621412,2.36614159936271e-05,1.1512080223792e-05,1,1,0,0.486533867072563,0.791739172850998,0.0125005063562083,32.7604807715619,25.9377559482775,1,1,"P__2023_spring_serpentine_network_case3_version2","2"
"TRLA",0,0.474703888560042,0.874814194755533,0.0124994658519924,35.5089115987571,31.0636999069121,1,1,0,0.474703888560042,0.874814188212623,0.0125005100949783,35.5093076147049,31.0640461149504,1,1,"P__2023_spring_serpentine_network_case3_version2","2"
"ACBR",0,0.451896748646114,0.451896748646114,0.518145181270384,1.92960668355327e-20,-6.74545130770016e-10,-1.29269777022649e-11,-2.23892575558646e-11,0,0.451896748646114,0.651556661961244,0.0180650735058659,1.84359647804349,12.4189256331441,0.09672395203267,0.111111111111111,"P_Aikawa_2022_spring_full_network_case3_version1","1"
"AGHE",0,0.528654495244219,0.734172209420522,0.0125004800904992,13.7910777130132,22.0656573339742,0.458859024302153,0.45080302923028,0,0.528654495244219,0.733128743009322,0.0196492616159194,2.25097331542532,13.9737215049683,0.118096903297991,0.111111111111111,"P_Aikawa_2022_spring_full_network_case3_version1","1"
"AMME",0,0.496101569592069,0.754339522783879,0.0125004837767243,13.576524644921,22.2705694516994,0.459858430828395,0.454619262347636,0,0.496101569592069,0.753437630657855,0.0219554598508105,2.31185803415986,12.615576995858,0.138070643954424,0.142857142857143,"P_Aikawa_2022_spring_full_network_case3_version1","1"
"ANFI",0,0.479080133898687,0.749934356938656,0.0125004836715337,16.6759069765304,23.5141392279629,0.531843222223558,0.513379567748623,0,0.479080133898687,0.749343526154625,0.0226759700183867,3.32977227283211,12.9079235970748,0.193303227854662,0.2,"P_Aikawa_2022_spring_full_network_case3_version1","1"
