plant,Q,network,subset
AMME,0.23594991266043897,Bertha_2022_spring,full
ANFI,0.18181818181818182,Bertha_2022_spring,full
CASAN,0.10714285714285714,Bertha_2022_spring,full
DICA,0.09090909090909091,Bertha_2022_spring,full
ERCI,0.047619047619047616,Bertha_2022_spring,full
EUSP,0.09799206349206349,Bertha_2022_spring,full
GITR,0.09090909090909091,Bertha_2022_spring,full
LACA,0.8605275525946687,Bertha_2022_spring,full
LUBI,0.04989087301587301,Bertha_2022_spring,full
LUMI,0.3747946508851942,Bertha_2022_spring,full
LUNA/LUBI,0.08695652173913043,Bertha_2022_spring,full
LUSU,0.14379369138959933,Bertha_2022_spring,full
PLER,0.2343030303030303,Bertha_2022_spring,full
PLNO,0.02,Bertha_2022_spring,full
RACA,0.034354575163398696,Bertha_2022_spring,full
TRFU,0.2760765064836003,Bertha_2022_spring,full
TRHI,0.0625,Bertha_2022_spring,full
TRLA,0.13418033880218755,Bertha_2022_spring,full
VIVI,0.4683688284552784,Bertha_2022_spring,full
AMME,0.6130536130536131,Bertha_2022_spring,non_serpentine
ERCI,0.5,Bertha_2022_spring,non_serpentine
VIVI,0.9165542060278903,Bertha_2022_spring,non_serpentine
AGHE,0.2536912767861966,Bertha_2022_spring,serpentine
ANFI,0.18181818181818182,Bertha_2022_spring,serpentine
CASAN,0.1513157894736842,Bertha_2022_spring,serpentine
DICA,0.09090909090909091,Bertha_2022_spring,serpentine
EUSP,0.11064859117490695,Bertha_2022_spring,serpentine
GITR,0.09090909090909091,Bertha_2022_spring,serpentine
LACA,0.8755708450312606,Bertha_2022_spring,serpentine
LUBI,0.05529804625199362,Bertha_2022_spring,serpentine
LUMI,0.4352200525442993,Bertha_2022_spring,serpentine
LUNA/LUBI,0.2,Bertha_2022_spring,serpentine
LUSU,0.20523809523809522,Bertha_2022_spring,serpentine
PLER,0.2348484848484848,Bertha_2022_spring,serpentine
PLNO,0.022727272727272728,Bertha_2022_spring,serpentine
RACA,0.034354575163398696,Bertha_2022_spring,serpentine
TRFU,0.5130757575757576,Bertha_2022_spring,serpentine
TRHI,0.16666666666666666,Bertha_2022_spring,serpentine
TRLA,0.2518707482993197,Bertha_2022_spring,serpentine
ACAM,0.3333333333333333,Bertha_2022_summer,full
ACWR,0.002288329519450801,Bertha_2022_summer,full
ASER,0.6961456479362655,Bertha_2022_summer,full
ASFA,0.5908084309238569,Bertha_2022_summer,full
CAPY,0.004576659038901602,Bertha_2022_summer,full
CESO,0.08237986270022883,Bertha_2022_summer,full
GRCA,0.1011441647597254,Bertha_2022_summer,full
HECO,0.7777777777777777,Bertha_2022_summer,full
HEEX,0.5784895612622538,Bertha_2022_summer,full
LULU,0.7672245477603518,Bertha_2022_summer,full
MEIN,0.002288329519450801,Bertha_2022_summer,full
PEKE,0.5967948717948718,Bertha_2022_summer,full
ASER,0.9736467236467237,Bertha_2022_summer,non_serpentine
CESO,0.9230769230769231,Bertha_2022_summer,non_serpentine
MEIN,0.02564102564102564,Bertha_2022_summer,non_serpentine
ACAM,0.3333333333333333,Bertha_2022_summer,serpentine
ACWR,0.002512562814070352,Bertha_2022_summer,serpentine
ASFA,0.6895757813836987,Bertha_2022_summer,serpentine
CAPY,0.005025125628140704,Bertha_2022_summer,serpentine
GRCA,0.10125628140703519,Bertha_2022_summer,serpentine
HECO,0.7777777777777777,Bertha_2022_summer,serpentine
HEEX,0.585959443089391,Bertha_2022_summer,serpentine
LULU,0.8680806447489671,Bertha_2022_summer,serpentine
PEKE,0.6916666666666667,Bertha_2022_summer,serpentine
ACMO,0.30299405538639984,Bertha_2023_spring,full
AGHE,0.6806871450637707,Bertha_2023_spring,full
DICA,0.023809523809523808,Bertha_2023_spring,full
ERCI,0.5418267178830558,Bertha_2023_spring,full
ERGU,0.25,Bertha_2023_spring,full
EUSP,0.2,Bertha_2023_spring,full
LACA,0.6604628856090845,Bertha_2023_spring,full
LACH,0.5,Bertha_2023_spring,full
LAMI,0.2579663444325098,Bertha_2023_spring,full
LUMI,0.373886144205931,Bertha_2023_spring,full
LUSU,0.02531645569620253,Bertha_2023_spring,full
MIDO,0.045454545454545456,Bertha_2023_spring,full
RACA,0.5,Bertha_2023_spring,full
TAOF,0.05263157894736842,Bertha_2023_spring,full
THCA,0.85,Bertha_2023_spring,full
TRFU,0.023809523809523808,Bertha_2023_spring,full
TRHI,0.3545454545454545,Bertha_2023_spring,full
TRLA,0.2172335020222344,Bertha_2023_spring,full
VIVI,0.8002994860363032,Bertha_2023_spring,full
ERCI,0.6353188334157193,Bertha_2023_spring,non_serpentine
TAOF,0.5,Bertha_2023_spring,non_serpentine
VIVI,0.962780112044818,Bertha_2023_spring,non_serpentine
ACMO,0.31781827563561305,Bertha_2023_spring,serpentine
AGHE,0.7023371444109231,Bertha_2023_spring,serpentine
DICA,0.023809523809523808,Bertha_2023_spring,serpentine
ERGU,0.25,Bertha_2023_spring,serpentine
EUSP,0.6666666666666666,Bertha_2023_spring,serpentine
LACA,0.6812638895714231,Bertha_2023_spring,serpentine
LACH,0.5,Bertha_2023_spring,serpentine
LAMI,0.2615046018407363,Bertha_2023_spring,serpentine
LUMI,0.7369146550586994,Bertha_2023_spring,serpentine
LUSU,0.2,Bertha_2023_spring,serpentine
MIDO,0.045454545454545456,Bertha_2023_spring,serpentine
RACA,0.5,Bertha_2023_spring,serpentine
THCA,0.85,Bertha_2023_spring,serpentine
TRFU,0.023809523809523808,Bertha_2023_spring,serpentine
TRHI,0.5052631578947367,Bertha_2023_spring,serpentine
TRLA,0.347765246449457,Bertha_2023_spring,serpentine
ASER,0.8421670731707316,Bertha_2023_summer,full
ASFA,0.1959349593495935,Bertha_2023_summer,full
CESO,0.7383980579407411,Bertha_2023_summer,full
CLGR,0.03125,Bertha_2023_summer,full
ERLA,0.005,Bertha_2023_summer,full
GRCA,0.3525566202090592,Bertha_2023_summer,full
HECO,0.2674725274725275,Bertha_2023_summer,full
HEEX,0.4364564604684589,Bertha_2023_summer,full
LULU,0.042386621315192746,Bertha_2023_summer,full
NOMA,0.16666666666666666,Bertha_2023_summer,full
PEKE,0.5973052694036258,Bertha_2023_summer,full
SAVE,0.26450340136054423,Bertha_2023_summer,full
TRLA,0.23015873015873015,Bertha_2023_summer,full
ZETR,0.039735449735449735,Bertha_2023_summer,full
ASER,0.8882240761563639,Bertha_2023_summer,non_serpentine
CESO,0.9811189317831696,Bertha_2023_summer,non_serpentine
ASFA,0.36246498599439775,Bertha_2023_summer,serpentine
CLGR,0.037037037037037035,Bertha_2023_summer,serpentine
ERLA,0.024096385542168676,Bertha_2023_summer,serpentine
GRCA,0.3872353541347009,Bertha_2023_summer,serpentine
HECO,0.27728748426422845,Bertha_2023_summer,serpentine
HEEX,0.6491812236750382,Bertha_2023_summer,serpentine
LULU,0.2755944412570918,Bertha_2023_summer,serpentine
NOMA,0.2,Bertha_2023_summer,serpentine
PEKE,0.6207063437408538,Bertha_2023_summer,serpentine
SAVE,0.434863262574106,Bertha_2023_summer,serpentine
TRLA,0.40740740740740744,Bertha_2023_summer,serpentine
ZETR,0.08472736769645334,Bertha_2023_summer,serpentine
ASER,1,Bertha_2024_summer,full
ASFA,0.7723852767602768,Bertha_2024_summer,full
CESO,0.5369196330734792,Bertha_2024_summer,full
