Plant_ID,P,Gamma,Seeds,PolServ,MeanSigmaP,VisitsP_percap,VisitsP_total,Plant_FullID,Simulation,Version,VersionName,Dataset
1,1.63257773643738e-05,-3.82281526315996,4.71484660651959e-15,5.95201579498097e-15,1.49498390726918e-10,3.98132432465661e-05,6.49982145397098e-10,1,1,1,full,Aikawa_2022_spring_all_versions
2,0.378321421286482,-8.30336183049793,9.71784277533748,12.5262816884866,0.365940981207847,15.8106006930164,5.98148892557501,2,1,1,full,Aikawa_2022_spring_all_versions
3,0.513082993408986,-5.32656024689369,9.87695303159483,12.6412887499897,0.446591668459705,19.7324792876193,10.1243995402725,3,1,1,full,Aikawa_2022_spring_all_versions
4,1.64636182733604e-05,-3.64228720344689,4.86573833064417e-15,6.49762305523618e-15,1.56858279053399e-10,4.14235263477819e-05,6.81981125326368e-10,4,1,1,full,Aikawa_2022_spring_all_versions
5,0.512466872926941,-10.5025850515063,14.2724935330309,19.527264648925,0.944574998659498,20.6730695568243,10.5942633095869,5,1,1,full,Aikawa_2022_spring_all_versions
6,0.55924125410962,-12.4099118076031,19.1270594260692,23.6662141168608,0.983891390500776,24.0536855443112,13.451813269759,6,1,1,full,Aikawa_2022_spring_all_versions
7,1.18796257893388e-05,-4.16172324447144,6.95585428207522e-16,8.53124497301985e-16,2.45308791909067e-11,2.64245060204717e-05,3.13913243191334e-10,7,1,1,full,Aikawa_2022_spring_all_versions
8,0.441525126624572,-7.96512290856,10.9194326996858,14.6908744956525,0.397676978198975,17.3534897942687,7.66200177879272,8,1,1,full,Aikawa_2022_spring_all_versions
9,0.714048065266076,-9.40597804687549,18.7896250945886,24.8227866842241,0.926998536296328,26.7775899446396,19.1204862924582,9,1,1,full,Aikawa_2022_spring_all_versions
10,9.70024687360749e-06,-3.70718218411847,1.27480520155702e-15,1.66462698002492e-15,4.30451559421084e-11,2.12353728984956e-05,2.05988359568522e-10,10,1,1,full,Aikawa_2022_spring_all_versions
11,1.095095416874e-05,-3.9290451642672,4.79819303860876e-16,5.6256059281788e-16,2.34365389136561e-11,2.4003569592355e-05,2.6286199049204e-10,11,1,1,full,Aikawa_2022_spring_all_versions
12,0.41254398131848,-9.10710985928129,9.96708689832632,13.3867737095322,0.450021167151325,17.0400349977865,7.0297638797931,12,1,1,full,Aikawa_2022_spring_all_versions
13,0.510556936567303,-10.8941456044886,16.3225472264478,20.192620205283,0.886788531350074,22.0017333119066,11.2331375588978,13,1,1,full,Aikawa_2022_spring_all_versions
14,0.386560778926735,-8.05040434643679,9.84235412502527,12.1375330412988,0.51091797740731,16.2379845211163,6.27696794468299,14,1,1,full,Aikawa_2022_spring_all_versions
15,0.412512555528255,-9.06329936041272,10.3449165696819,13.3491886554514,0.471347622109168,16.8104754290109,6.93453217886624,15,1,1,full,Aikawa_2022_spring_all_versions
16,0.440470131293036,-9.99220437529093,11.6606534188715,15.0247032539708,0.840938525320717,17.8665892946701,7.86969893238209,16,1,1,full,Aikawa_2022_spring_all_versions
17,1.28643096678136e-05,-3.82066729145873,1.3362342122448e-15,1.52982093053389e-15,5.94849647171763e-11,2.58882326536108e-05,3.33034241608453e-10,17,1,1,full,Aikawa_2022_spring_all_versions
18,0.347947924763966,-7.8411182106193,7.87290459035301,9.73724610511998,0.377434902395251,14.2328370821219,4.95228612622795,18,1,1,full,Aikawa_2022_spring_all_versions
19,1.85812481441462e-05,-4.34839323991328,8.53002363861191e-15,1.03464833818622e-14,2.10281646665606e-10,4.92029786998736e-05,9.14252756653489e-10,19,1,1,full,Aikawa_2022_spring_all_versions
20,1.37222680567607e-05,-3.60158396912444,2.04349786026688e-15,2.55911174067848e-15,5.26257902335147e-11,3.01574296580179e-05,4.13828333670228e-10,20,1,1,full,Aikawa_2022_spring_all_versions
