0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80627610760672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.631022498948976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993779131461991,0,0,0,0,0,0,0.178638735242665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.2
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368977501050237,0,0,0.712712121069989,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.889750601446683,0,0.889750601445017,0,0,0,0,0,0.287287878930372,0,0,0,0.412715975284293,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0.333333333333333,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.912911278145002,0,0.838297607384271,0,0,0,0,0,0,0.91291127815854,0,0.536136438673628,0.0117057616876401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0.333333333333333,0.2
0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.161702392616925,0.669149092563225,0,0,0.669149092562046,0,0.669149092542276,0,0.669149092566015,0,0.00226058895858089,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0.5,0,0.5,0,0.2
1,1,1,0,1,0,1,0,0,0,0,0,1,1,0.110249398555257,0.0870887218526824,0.110249398554129,0,0.330850907433888,0,0.00622086853705732,0.330850907440471,0,0.33085090745797,0.0870887218392134,0.330850907436092,0.0511475860445078,0.00111880650312673,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.333333333333333,0.2
