1,0,0,0,0,0,NaN,0,1,0,0,0,0,0,NaN,0
1,0,0,0,0,0,NaN,0,1,0,0,0,0,0,NaN,0
1,0,0,0,0,0,NaN,0,1,0,0,0,0,0,NaN,0
1,0.472041671407428,0,0,0,0,NaN,0,0,0.472041671407428,0.472041671407428,0.454315823877377,0,0,NaN,0
1,0,0,0,0,0,NaN,1,1,0,0,0,0,0,NaN,1
1,0,0,0,0,0,NaN,0.332305658041265,1,0,0,0,0,0,NaN,0.333333333333333
1,0,0,0,0,0,NaN,0.499710742893023,1,0,0,0,0,0,NaN,0.5
1,0,0,0,0,0,NaN,-1.86907818523474e-14,1,0,0,0,0,0,NaN,0.0178571428571429
0,0.539364520315716,0.715773624096683,0.0125006933420714,0.107024119042118,19.2428189428873,0.00398096774593656,0.00465538715194148,0,0.539364520315716,0.720918714673104,0.011327475489921,0.139972093356017,21.5497164979856,0.00468259068010273,0.00520833333333333
1,0,0,0,0,0,NaN,2,1,0,0,0,0,0,NaN,2
0,0.477947516333287,0.747488541494473,0.000347245929205367,182.314521934405,136.278016093726,1.00000000000026,7.33876041222079,0,0.477947516333287,0.747068852720926,0.00310719505096886,4.84517623284042,17.2107846771695,0.88824655182456,5.52380952380952
1,0,0,0,0,0,NaN,3.16095033067371,1,0,0,0,0,0,NaN,4.25
0,0.485176913037513,0.843469238276421,3.73278170135704e-07,5725.03711424894,4848.19319459327,0.968625594757874,29.6636174690234,0,0.485176913037513,0.843223807533603,3.89783451542806e-07,5586.38361966359,4744.89924509236,0.996542031085107,30.3697916666667
