0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00540540177691384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00540540540540541
0,0,0,0,0,0,0,0,0,0,0,0,0.999999999997692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,2.31141275386638e-12,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250002910523279,0,0,0,0,0,0,0,0,0.0108114748247684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.0108108108108108
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0.8,0.333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0.8,0.333333333333333,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0.333333333333333,0,0,0,0,0.5,0,0,0,0,0.111111111111111,0.8,0.0454545454545455,0.0108108035538277,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0.333333333333333,0,0,0,0,0.5,0,0,0,0,0.111111111111111,0.8,0.0454545454545455,0.0108108108108108
0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0.75,0.74999708947672,0.5,0.5,0,0.666666666666667,0.142857142857143,0.888888888888889,0.2,0.954545454545455,0.286486294176433,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0.75,0.75,0.5,0.5,0,0.666666666666667,0.142857142857143,0.888888888888889,0.2,0.954545454545455,0.286486486486487
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.666666666666667,0,0,0,0,0,0.25,0,0,0.857142857142857,0,0,0,0.686486025668057,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.666666666666667,0,0,0,0,0,0.25,0,0,0.857142857142857,0,0,0,0.686486486486487
