0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125721116486436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010989010989011,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00000000004511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00000000001071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.635144916891066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714285714286,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.00000000030353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00000000000111,0,-1.35774783502394e-14,-9.76004436333056e-15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.010989010989011,0.0062111801242236,0
0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,-1.23181493660351e-11,0,0,1.00000000000531,-1.88411505000097e-10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0.333333333333333,0,0,0.8,0.285714285714286,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0.0644336066444373,-3.03712545337024e-12,0.364855083291535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0.25,0.2,0.428571428571429,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.44887628164036e-11,0,0,0.935566393355621,0,0,0,-3.56497313005781e-13,0.361336955273793,0.874278883531651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0.75,0,0,0,0.1,0.0909090909090909,0.0879120879120879,0,0
0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,-3.04333085482264e-10,1,0,0,-1.8872268373912e-11,0,0,0,0,0,1,-8.29551608831286e-13,0.638663044726078,-1.78877316444768e-11,1.00000000000013,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0.5,1,0,0,0.333333333333333,0,0,0,0,0,1,0.3,0.909090909090909,0.89010989010989,0.993788819875776,1
