0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.927462130353626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.889858726471538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999999997680488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.768975590339732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999999997092011,0,0,0,0.172945349034473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.25,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0691723264635815,0.0580790601152947,0.105033677680103,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25
0,0,0,0,1,1,0,0,1,0,1,0,0,0.999999990782624,0.999999990782624,0.999999990782624,0,0,0.999999990782624,0.00336554258464962,0,0.00510759501440002,0,0,0,0,1,1,0,0,1,0,1,0,0,0.5,0.5,0.5,0,0,0.5,0.25,0,0.25
0,1,0,1,0,0,0,1,0,1,0,1,1,9.21737125263025e-09,9.21737111991542e-09,9.21737125263053e-09,2.90428806630118e-09,2.31978425281793e-09,9.21737111992339e-09,5.93603325917399e-10,5.10833324555113e-10,8.23321430502817e-10,0,1,0,1,0,0,0,1,0,1,0,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.25
