AMME,0,0.549540061084339,0.549540061084339,0.514489790175338,0,0,NaN,0,1,0.549540061084339,5.82844486068091e-05,0.000349952621797911,0,0,NaN,0
Asteraceae_sp.,1,0,0,0,0,0,NaN,0,1,0,0,0,0,0,NaN,0
DEVA,1,0,0,0,0,0,NaN,0,1,0,0,0,0,0,NaN,0
DICA,1,0,0,0,0,0,NaN,0,1,0,0,0,0,0,NaN,0
GITR,1,0,0,0,0,0,NaN,0,1,0,0,0,0,0,NaN,0
LACA,1,0,0,0,0,0,NaN,0,1,0,0,0,0,0,NaN,0
LODA,1,0,0,0,0,0,NaN,0,1,0,0,0,0,0,NaN,0
PHTA,1,0,0,0,0,0,NaN,0,1,0,0,0,0,0,NaN,0
PLER,1,0,0,0,0,0,NaN,0,1,0,0,0,0,0,NaN,0
RACA,1,0,0,0,0,0,NaN,1,1,0,0,0,0,0,NaN,1
VIVI,0,0.514649520425428,0.901451035284941,0.0125005666857788,33.0736772343999,29.8143005836298,1,2,0,0.514649520425428,0.90144802120194,0.0125008069111132,33.0729287862446,29.8135262097129,1,2
