ERCI,0,0.463102306059144,0.463102306059144,0.54214728790901,0,0,NaN,0,1,0.463102306059144,1.57140815867157e-05,7.98860633480763e-05,0,0,NaN,0
EUSP,1,0,0,0,0,0,NaN,0,1,0,0,0,0,0,NaN,0
GEDI,1,0,0,0,0,0,NaN,0,1,0,0,0,0,0,NaN,0
GITR,1,0,0,0,0,0,NaN,-1.83357838149478e-15,1,0,0,0,0,0,NaN,0.0714285714285714
LACA,1,0,0,0,0,0,NaN,3,1,0,0,0,0,0,NaN,3
MEPO,0,0.51585935641353,0.84661909115996,0.00312531447616187,72.8090004867112,61.6414898203245,1,4,0,0.51585935641353,0.84661834835183,0.00312517188710934,74.2911593800033,62.8962586514409,1,4
TRFU,1,0,0,0,0,0,NaN,10,1,0,0,0,0,0,NaN,10
VIVI,0,0.451891601552205,0.874403485735654,7.39721435867288e-05,473.751442976696,414.249913111119,1,12,0,0.451891601552205,0.874402679923861,7.96654986481366e-05,444.496308930088,388.668763744733,1,11.9285714285714
