"","Apis_mellifera","Bombus_vosnesenskii","Epicauta_puncticollis","Geron_sp.","Halictus_ligatus","Junonia_grisea","Lasioglossum_incompletum","Lasioglossum_titusi","Megachile_apicalis","Prionyx_sp."
"CESO",4,0,0,0,4,1,0,1,14,0
"HEEX",14,1,3,1,2,0,5,1,0,1
