"","APME","BOVO","Geron","HALI","JUCO","LAIN","large_black_beetle","LATI","MEAP","MEGA","skinny_long_yellow_black_wasp"
"CESO",4,0,0,4,1,0,0,1,2,12,0
"HEEX",14,1,1,2,0,5,3,1,0,0,1
