"ARTH","extinct_level_A_run1","animal_abundance_run1","sum_extract_run1","extinct_level_A_run2","animal_abundance_run2","sum_extract_run2","source_dataframe","version"
"Anthophora",1,2.18035278011723e-05,1.30079090600704e-06,1,2.18115099663847e-05,1.23987053274524e-06,"A_Aikawa_2022_summer_version1","1"
"apine_bee",1,0,1.30079090600704e-06,0,0.517758376695103,1.23987053274524e-06,"A_Aikawa_2022_summer_version1","1"
"APME",1,0,1.30079090600704e-06,0,0.465037114599271,1.23987053274524e-06,"A_Aikawa_2022_summer_version1","1"
"black_oviwasp",1,0,0.000200009633152583,0,0.478785069952153,0.000206532511366127,"A_Aikawa_2022_summer_version1","1"
"BOCA",1,0,1.30079090600704e-06,0,0.540670685838289,1.23987053274524e-06,"A_Aikawa_2022_summer_version1","1"
"BOVO",0,0.00292683585943704,0.00125002632178369,1,0,0.00135510448174584,"A_Aikawa_2022_summer_version1","1"
"CEPU",1,0,3.47243364510341e-05,0,0.509171444018917,3.68893136381034e-05,"A_Aikawa_2022_summer_version1","1"
"clepatha",1,0,1.30079090600704e-06,0,0.544459625936327,1.23987053274524e-06,"A_Aikawa_2022_summer_version1","1"
"COEU",0,0.00344924703153256,0.00125002632178369,0,0.0010833906884096,0.00135510448174584,"A_Aikawa_2022_summer_version1","1"
"DAPL",1,0,1.30079090600704e-06,0,0.506810920106625,1.23987053274524e-06,"A_Aikawa_2022_summer_version1","1"
"delta_moth",1,0,3.47243364510341e-05,0,0.471134232041023,3.68893136381034e-05,"A_Aikawa_2022_summer_version1","1"
"DIDU",0,0.00101479280007555,0.00125008492657203,0,0.341149673171392,0.00369458111690308,"A_Aikawa_2022_summer_version1","1"
"duskywing",1,0,4.32546730436437e-06,0,0.50821170730433,4.47253391635589e-06,"A_Aikawa_2022_summer_version1","1"
"ERST",1,0,3.22648560764774e-06,0,0.51416466388114,3.35523586299984e-06,"A_Aikawa_2022_summer_version1","1"
"Geron",1,0,3.22648560764774e-06,0,0.465505850322314,3.35523586299984e-06,"A_Aikawa_2022_summer_version1","1"
"goldbomb",1,0,2.60158181201408e-06,0,0.45682636713927,2.47974106549048e-06,"A_Aikawa_2022_summer_version1","1"
"HALI",1,0,5.66920662963938e-06,0,0.480752509707004,5.2297126815958e-06,"A_Aikawa_2022_summer_version1","1"
"HALI_LATI",1,0,2.60158181201408e-06,0,0.507430645617391,2.47974106549048e-06,"A_Aikawa_2022_summer_version1","1"
"HATR",1,0,2.60158181201408e-06,0,0.486860891495301,2.47974106549048e-06,"A_Aikawa_2022_summer_version1","1"
"HEER",1,0,2.60158181201408e-06,0,0.471003361521756,2.47974106549048e-06,"A_Aikawa_2022_summer_version1","1"
"HETH",0,0.0020754422822518,0.00124996412960231,1,0,0.000678172176139293,"A_Aikawa_2022_summer_version1","1"
"ICAC",1,0,0.000165930548269966,0,0.525695039134331,0.000103886190949436,"A_Aikawa_2022_summer_version1","1"
"JUCO",0,0.00208930096478266,0.00124994742445006,1,0,0.000695996897691973,"A_Aikawa_2022_summer_version1","1"
"kleptobee",1,0,8.50380994445907e-06,0,0.477534780710719,7.8445690223937e-06,"A_Aikawa_2022_summer_version1","1"
"LAIN",1,0,3.90237271802111e-06,0,0.527059405053528,3.71961159823573e-06,"A_Aikawa_2022_summer_version1","1"
"large_black_beetle",1,0,3.90237271802111e-06,0,0.487420734640872,3.71961159823573e-06,"A_Aikawa_2022_summer_version1","1"
"LATI",1,0,0.000129593252503294,0,0.480287109143234,0.000234153843979227,"A_Aikawa_2022_summer_version1","1"
"MEGA",0,0.00159650448238722,0.00124811906816142,1,0,0.000428264998892115,"A_Aikawa_2022_summer_version1","1"
"MELU",1,0,0.000115677300584659,0,0.546725306611846,0.000134634083527264,"A_Aikawa_2022_summer_version1","1"
"pink_brown_moth",1,0,9.46851543326301e-05,0,0.512228225293676,0.000151339746138347,"A_Aikawa_2022_summer_version1","1"
"small_black_oviwasp",1,0,1.04063272480563e-05,0,0.519782510804843,9.91896426196194e-06,"A_Aikawa_2022_summer_version1","1"
"small_halictid",0,65.647646078893,0.00250016985278829,0,0.625628153791629,0.00202355370136225,"A_Aikawa_2022_summer_version1","1"
"small_sab_syr",0,0.0168308399352926,0.000243070313759148,0,0.00383121372070126,0.000251763609954149,"A_Aikawa_2022_summer_version1","1"
"STME",1,0,1.00247212016038e-05,0,0.501600913075544,9.31380533467238e-06,"A_Aikawa_2022_summer_version1","1"
"unkfly2",1,0,2.21700006289045e-05,0,0.506546060674147,1.92968475068843e-05,"A_Aikawa_2022_summer_version1","1"
"Villa",0,0.572951864167022,0.000801323981918074,0,140.331267385089,0.00165696520390127,"A_Aikawa_2022_summer_version1","1"
"XECA",0,159.941741143909,0.00100165274948879,0,5.2610586451615,0.000769034123137117,"A_Aikawa_2022_summer_version1","1"
"XylocopaSp_",0,9587.07872288387,0.00019481732744178,0,9616.52313955029,0.000215969682861124,"A_Aikawa_2022_summer_version1","1"
"Anthophora",1,2.17568357759033e-05,0,1,2.18813485698139e-05,0,"A_Aikawa_2022_summer_version2","2"
"apine_bee",1,0,1.30079142628202e-06,0,0.517758376695103,1.24514947561897e-06,"A_Aikawa_2022_summer_version2","2"
"APME",1,0,1.30079142628202e-06,0,0.465037114599271,1.24514947561897e-06,"A_Aikawa_2022_summer_version2","2"
"black_oviwasp",1,0,1.30079142628202e-06,0,0.478785069952153,1.24514947561897e-06,"A_Aikawa_2022_summer_version2","2"
"BOCA",1,0,1.30079142628202e-06,0,0.540670685838289,1.24514947561897e-06,"A_Aikawa_2022_summer_version2","2"
"BOVO",0,0.00293305454348204,0.001250166013141,1,0,0.00129121858461111,"A_Aikawa_2022_summer_version2","2"
"CEPU",1,0,3.47244161877295e-05,0,0.509171444018917,3.70465247061511e-05,"A_Aikawa_2022_summer_version2","2"
"clepatha",1,0,1.30079142628202e-06,0,0.544459625936327,1.24514947561897e-06,"A_Aikawa_2022_summer_version2","2"
"COEU",1,0,1.30079142628202e-06,0,0.532933111853401,1.24514947561897e-06,"A_Aikawa_2022_summer_version2","2"
"DAPL",0,0.00328714854434881,0.001250166013141,1,0,0.00129121858461111,"A_Aikawa_2022_summer_version2","2"
"delta_moth",1,0,1.30079142628202e-06,0,0.471134232041023,1.24514947561897e-06,"A_Aikawa_2022_summer_version2","2"
"DIDU",1,0,3.47244161877295e-05,0,0.453037913471012,3.70465247061511e-05,"A_Aikawa_2022_summer_version2","2"
"duskywing",0,0.00116097444243788,0.00125008782839214,0,0.344230348689424,0.00365289882144418,"A_Aikawa_2022_summer_version2","2"
"ERST",1,0,4.32546903518865e-06,0,0.51416466388114,4.49161859385748e-06,"A_Aikawa_2022_summer_version2","2"
"Geron",1,0,3.22660174588595e-06,0,0.465505850322314,3.36954584522063e-06,"A_Aikawa_2022_summer_version2","2"
"goldbomb",1,0,3.22660174588595e-06,0,0.45682636713927,3.36954584522063e-06,"A_Aikawa_2022_summer_version2","2"
"HALI",1,0,2.60158285256403e-06,0,0.480752509707004,2.49029895123795e-06,"A_Aikawa_2022_summer_version2","2"
"HALI_LATI",1,0,5.66920889852697e-06,0,0.507430645617391,5.25200007719498e-06,"A_Aikawa_2022_summer_version2","2"
"HATR",1,0,2.60158285256403e-06,0,0.486860891495301,2.49029895123795e-06,"A_Aikawa_2022_summer_version2","2"
"HEER",1,0,2.60158285256403e-06,0,0.471003361521756,2.49029895123795e-06,"A_Aikawa_2022_summer_version2","2"
"HETH",1,0,2.60158285256403e-06,0,0.453497096152742,2.49029895123795e-06,"A_Aikawa_2022_summer_version2","2"
"ICAC",0,0.00241098092920284,0.00125010409656529,1,0,0.000646231867043364,"A_Aikawa_2022_summer_version2","2"
"JUCO",0,0.0020937524198883,0.00125008743183369,1,0,0.00066413255465863,"A_Aikawa_2022_summer_version2","2"
