"PLANT","extinct_level_P_run1","initial_plant_abundance_run1","plant_abundance_run1","reward_abundance_run1","sum_pol_run1","visit_quanity_run1","visit_quality_run1","foraging_effort_run1","extinct_level_P_run2","initial_plant_abundance_run2","plant_abundance_run2","reward_abundance_run2","sum_pol_run2","visit_quanity_run2","visit_quality_run2","foraging_effort_run2","source_dataframe","version"
"ASFA",0,0.535379822172867,0.535379822172867,0.464084832190575,3.75596447353455e-34,-1.2706453537307e-15,-1.58255612868255e-19,-2.47557483954474e-19,0,0.535379822172867,0.687851875349058,0.010615039585115,0.0747929063291981,20.3530568488532,0.00252770093767238,0.00307692307692308,"P_Aikawa_2022_summer_version1","1"
"CAPA",0,0.528671259376533,0.776234593625032,0.012502171208409,0.109339263860947,25.5069280224285,0.00332744574241685,0.00342751109687819,0,0.528671259376533,0.769248453476402,0.0137527134238936,0.0876092923074445,22.7615247782126,0.00296084349683694,0.00307692307692308,"P_Aikawa_2022_summer_version1","1"
"CESO",0,0.477856341389872,0.882461732741487,0.00312516603504801,0.628221475036475,64.5164009868228,0.251807087488754,1.00592982979444,0,0.477856341389872,0.883319455638894,0.00345264043206382,1.9144629438724,64.7384247755483,0.137321530720698,0.481153846153846,"P_Aikawa_2022_summer_version1","1"
"ERLA",0,0.531529739583623,0.806017957210267,0.00312521231643007,65.6486608337899,52.9139997056139,0.500000111243534,2.00000041389351,0,0.531529739583623,0.804547051039383,0.00923645279225769,1.92812713226184,35.4966041599326,0.34412579730177,1.35307692307692,"P_Aikawa_2022_summer_version1","1"
"ERLU",0,0.520333181959732,0.853711556483743,0.00312506580445923,0.482441049583251,54.8159419193171,0.801450938112267,4.00658162526125,0,0.520333181959732,0.853116599748108,0.0033877612043646,0.400650455288115,50.4871736260397,0.618694697311949,3.00615384615385,"P_Aikawa_2022_summer_version1","1"
"ERNU",0,0.539789197216644,0.812753912258176,0.000500024082881457,2.63260401781288,124.174797046521,0.400969364887781,1.96447533078446,0,0.539789197216644,0.812697792875616,0.000516331278415318,3.11922587382301,120.949994993489,0.396746247872914,1.89038461538462,"P_Aikawa_2022_summer_version1","1"
"GRCA",0,0.537037620128616,0.859805778255293,0.000195321883667591,8.20618954966925,220.642539891493,0.015989052334288,0.0267671825214216,0,0.537037620128616,0.859761755312115,0.000205639043903706,13.3063821218176,227.648292941127,0.127726000851031,0.224615384615385,"P_Aikawa_2022_summer_version1","1"
"HECO",0,0.491281501642094,0.840270546763717,0.000500826374744416,160.514688206185,134.875766940167,0.768167725469654,3.07089246157167,0,0.491281501642094,0.840196158921947,0.00174375512451675,21.8829698237204,48.3438423712271,0.286791752768259,1.15072463768116,"P_Aikawa_2022_summer_version1","1"
"HEEX",0,0.468198098669852,0.808767538730747,8.68097259135266e-05,15.5718036602758,294.952720513053,0.102425192118066,0.188906528659431,0,0.468198098669852,0.808724161758449,8.91574345446314e-05,14.739881607225,287.237851440003,0.127084231442559,0.236923076923077,"P_Aikawa_2022_summer_version1","1"
"HOMA",0,0.505444344205523,0.742452020988195,8.68108411275853e-05,13.2346087091269,280.082640467367,0.55633467100433,3.92106976014365,0,0.505444344205523,0.742410817298328,9.22232840952584e-05,12.9520530636092,264.643713703987,0.678381768856999,4.91192307692308,"P_Aikawa_2022_summer_version1","1"
"HOVI",0,0.503093062226238,0.732067037123641,1.48639720700773e-05,78.514014076871,667.865940602109,0.21429484213361,1.14750415579773,0,0.503093062226238,0.732028349026129,1.5802054377234e-05,69.5027902875429,628.713247546647,0.231048225150114,1.24382014121145,"P_Aikawa_2022_summer_version1","1"
"LERA",0,0.485096836385828,0.723143398469252,1.08136682609109e-05,106.998943268166,752.290529973393,0.291302536613977,1.17126655362848,0,0.485096836385828,0.723105282924229,1.11813347908897e-05,100.32639285895,727.99102988099,0.36119306446488,1.4657264957265,"P_Aikawa_2022_summer_version1","1"
"LULU",0,0.522529136609532,0.74337712760519,7.08650828704923e-06,143.513948966655,852.35220236198,0.586710472871777,3.50979413060769,0,0.522529136609532,0.743338062356002,6.53714085199475e-06,169.916672291212,925.909530827302,0.643947245437364,3.83551096246748,"P_Aikawa_2022_summer_version1","1"
"SAVE",0,0.547198996412195,0.803887810260305,9.61880617296212e-07,1248.70910431102,2746.32153684215,0.46879597943601,1.33429169760522,0,0.547198996412195,0.803845490255728,9.74124937765177e-07,1214.11571018604,2711.90962378263,0.474241196721711,1.35076923076923,"P_Aikawa_2022_summer_version1","1"
"STAL",0,0.473532699757969,0.743324992891578,3.25197726501759e-06,304.880420555632,1300.88676724459,0.695722143992948,14.64909281877,0,0.473532699757969,0.743285873474232,3.09967633186311e-06,347.338761747693,1391.90874237619,0.795220814928223,16.8430639167596,"P_Aikawa_2022_summer_version1","1"
"ASFA",0,0.535379822172867,0.535379822172867,0.464084832190575,0,0,NA,0,1,0.535379822172867,9.99310904289922e-06,4.49931631376884e-05,0,0,NA,0,"P_Aikawa_2022_summer_version2","2"
"CAPA",0,0.528671259376533,0.821934886669699,0.0125017080976137,0.119096116998732,28.6032118877099,0.00342231682974787,0.00350315920029981,0,0.528671259376533,0.815269597368998,0.0138870461238525,0.094290366788082,25.323154915343,0.00303564345059229,0.003125,"P_Aikawa_2022_summer_version2","2"
"CESO",1,0,0,0,0,0,NA,1.83378481911857e-20,1,0,0,0,0,0,NA,0.003125,"P_Aikawa_2022_summer_version2","2"
"ERLA",0,0.531529739583623,0.846848599436771,0.00312516459797003,0.523435408755009,58.4141235285592,0.251537597662797,1.0052188408113,0,0.531529739583623,0.848460267374615,0.00310685264569832,1.95415751502379,65.2554386997694,0.13376686426945,0.48125,"P_Aikawa_2022_summer_version2","2"
"ERLU",0,0.520333181959732,0.904023245786553,0.00312521957098034,67.987386246028,61.4621778165407,0.500000109285968,2.00000040222579,0,0.520333181959732,0.902517850835919,0.00913224705361044,2.02378063973218,41.7489423150363,0.345337022405312,1.353125,"P_Aikawa_2022_summer_version2","2"
"ERNU",0,0.539789197216644,0.854260033400298,0.00312541503285251,0.458562799259711,54.8356639241678,0.801376108618146,4.00634651926864,0,0.539789197216644,0.853981969388361,0.00322804646152777,0.420242175007241,53.0512060685693,0.616936067852367,3.00625,"P_Aikawa_2022_summer_version2","2"
"GRCA",0,0.537037620128616,0.906378911555309,0.000195321961739312,8.81707363937193,245.193602550255,0.0162965318360949,0.0272321473117598,0,0.537037620128616,0.90637984521694,0.000206520603120733,14.124943293527,251.915330962632,0.128274531572165,0.225,"P_Aikawa_2022_summer_version2","2"
"HECO",0,0.491281501642094,0.885781524955628,0.000500811161178109,169.212532827791,149.885337456601,0.768636780417562,3.07279339906931,0,0.491281501642094,0.885752861508596,0.00175078151648896,23.015572325584,53.4940980048183,0.287010261922974,1.15072463768116,"P_Aikawa_2022_summer_version2","2"
