"site","VIVI","TRFU"
"Bertha_2022",189.51018,142.333779
"Rock_2022",94.07215,92.812698
"Quarry_2022",103.235119,767.306901
"Goatgrass_2022",504.233383,271.773195
"Long_2022",704.519129,442.479071
"Aikawa_2022",464.719707,1317.49591
"Quarry1_2023",369.761624,245.930939
"Bertha_2023",414.829389,0
"Rock_2023",261.333333,112.666667
"Rock_2024",202.5,328.666667
"Upper_Grid_2_2024",134.333333,78.5
"Felch_2024",557,278
"Coyote_2024",345.069048,176.807143
"Aikawa_2024",266,37
"Goatgrass_2024",161.978151,402.804894
"South_Goatgrass_2024",298.319048,54.542857
"Anu_2024",265.151645,556.958231
"Quarry1_2024",321.143953,94.290694
"Quarry2_2024",510.844444,185.46508
"Quarry3_2024",159.540476,107.786905
"Quarry4_2024",83.75,126.75
"Quarry5_2024",144,670.69069
